observation_date,Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),ZAFPROMANMISMEI,South Africa Industrial Production
2003-07-01,2003,7,1,7,31,2003-07-01,2003-07-31,2003-07-01,2003-07-31,90.1075089590799,90.11
2003-08-01,2003,8,1,8,31,2003-08-01,2003-08-31,2003-08-01,2003-08-29,88.5073756146346,88.51
2003-09-01,2003,9,1,9,30,2003-09-01,2003-09-30,2003-09-01,2003-09-30,88.3073589465789,88.31
2003-10-01,2003,10,1,10,31,2003-10-01,2003-10-31,2003-10-01,2003-10-31,88.5073756146346,88.51
2003-11-01,2003,11,1,11,30,2003-11-01,2003-11-30,2003-11-03,2003-11-28,89.5074589549129,89.51
2003-12-01,2003,12,1,12,31,2003-12-01,2003-12-31,2003-12-01,2003-12-31,88.8074006167181,88.81
2004-01-01,2004,1,1,1,31,2004-01-01,2004-01-31,2004-01-01,2004-01-30,90.1075089590799,90.11
2004-02-01,2004,2,1,2,29,2004-02-01,2004-02-29,2004-02-02,2004-02-27,90.5075422951913,90.51
2004-03-01,2004,3,1,3,31,2004-03-01,2004-03-31,2004-03-01,2004-03-31,92.0076673056088,92.01
2004-04-01,2004,4,1,4,30,2004-04-01,2004-04-30,2004-04-01,2004-04-30,90.1075089590799,90.11
2004-05-01,2004,5,1,5,31,2004-05-01,2004-05-31,2004-05-03,2004-05-31,95.2079339944996,95.21
2004-06-01,2004,6,1,6,30,2004-06-01,2004-06-30,2004-06-01,2004-06-30,92.7077256438036,92.71
2004-07-01,2004,7,1,7,31,2004-07-01,2004-07-31,2004-07-01,2004-07-30,93.6078006500542,93.61
2004-08-01,2004,8,1,8,31,2004-08-01,2004-08-31,2004-08-02,2004-08-31,95.5079589965831,95.51
2004-09-01,2004,9,1,9,30,2004-09-01,2004-09-30,2004-09-01,2004-09-30,94.7078923243604,94.71
2004-10-01,2004,10,1,10,31,2004-10-01,2004-10-31,2004-10-01,2004-10-29,94.4078673222769,94.41
2004-11-01,2004,11,1,11,30,2004-11-01,2004-11-30,2004-11-01,2004-11-30,93.2077673139428,93.21
2004-12-01,2004,12,1,12,31,2004-12-01,2004-12-31,2004-12-01,2004-12-31,93.9078256521377,93.91
2005-01-01,2005,1,1,1,31,2005-01-01,2005-01-31,2005-01-03,2005-01-31,95.6079673306109,95.61
2005-02-01,2005,2,1,2,28,2005-02-01,2005-02-28,2005-02-01,2005-02-28,96.7080590049171,96.71
2005-03-01,2005,3,1,3,31,2005-03-01,2005-03-31,2005-03-01,2005-03-31,95.3079423285274,95.31
2005-04-01,2005,4,1,4,30,2005-04-01,2005-04-30,2005-04-01,2005-04-29,97.2081006750563,97.21
2005-05-01,2005,5,1,5,31,2005-05-01,2005-05-31,2005-05-02,2005-05-31,94.7078923243604,94.71
2005-06-01,2005,6,1,6,30,2005-06-01,2005-06-30,2005-06-01,2005-06-30,96.2080173347779,96.21
2005-07-01,2005,7,1,7,31,2005-07-01,2005-07-31,2005-07-01,2005-07-29,95.5079589965831,95.51
2005-08-01,2005,8,1,8,31,2005-08-01,2005-08-31,2005-08-01,2005-08-31,95.4079506625552,95.41
2005-09-01,2005,9,1,9,30,2005-09-01,2005-09-30,2005-09-01,2005-09-30,98.8082340195016,98.81
2005-10-01,2005,10,1,10,31,2005-10-01,2005-10-31,2005-10-03,2005-10-31,94.9079089924160,94.91
2005-11-01,2005,11,1,11,30,2005-11-01,2005-11-30,2005-11-01,2005-11-30,94.7078923243604,94.71
2005-12-01,2005,12,1,12,31,2005-12-01,2005-12-31,2005-12-01,2005-12-30,96.8080673389449,96.81
2006-01-01,2006,1,1,1,31,2006-01-01,2006-01-31,2006-01-02,2006-01-31,98.4082006833903,98.41
2006-02-01,2006,2,1,2,28,2006-02-01,2006-02-28,2006-02-01,2006-02-28,97.6081340111676,97.61
2006-03-01,2006,3,1,3,31,2006-03-01,2006-03-31,2006-03-01,2006-03-31,97.6081340111676,97.61
2006-04-01,2006,4,1,4,30,2006-04-01,2006-04-30,2006-04-03,2006-04-28,100.0083340278360,100.01
2006-05-01,2006,5,1,5,31,2006-05-01,2006-05-31,2006-05-01,2006-05-31,98.0081673472789,98.01
2006-06-01,2006,6,1,6,30,2006-06-01,2006-06-30,2006-06-01,2006-06-30,100.2083506958910,100.21
2006-07-01,2006,7,1,7,31,2006-07-01,2006-07-31,2006-07-03,2006-07-31,102.8085673806150,102.81
2006-08-01,2006,8,1,8,31,2006-08-01,2006-08-31,2006-08-01,2006-08-31,100.2083506958910,100.21
2006-09-01,2006,9,1,9,30,2006-09-01,2006-09-30,2006-09-01,2006-09-29,101.5084590382530,101.51
2006-10-01,2006,10,1,10,31,2006-10-01,2006-10-31,2006-10-02,2006-10-31,101.3084423701980,101.31
2006-11-01,2006,11,1,11,30,2006-11-01,2006-11-30,2006-11-01,2006-11-30,103.2086007167260,103.21
2006-12-01,2006,12,1,12,31,2006-12-01,2006-12-31,2006-12-01,2006-12-29,102.7085590465870,102.71
2007-01-01,2007,1,1,1,31,2007-01-01,2007-01-31,2007-01-01,2007-01-31,103.9086590549210,103.91
2007-02-01,2007,2,1,2,28,2007-02-01,2007-02-28,2007-02-01,2007-02-28,105.7088090674220,105.71
2007-03-01,2007,3,1,3,31,2007-03-01,2007-03-31,2007-03-01,2007-03-30,104.8087340611720,104.81
2007-04-01,2007,4,1,4,30,2007-04-01,2007-04-30,2007-04-02,2007-04-30,104.9087423952000,104.91
2007-05-01,2007,5,1,5,31,2007-05-01,2007-05-31,2007-05-01,2007-05-31,106.0088340695060,106.01
2007-06-01,2007,6,1,6,30,2007-06-01,2007-06-30,2007-06-01,2007-06-29,102.3085257104760,102.31
2007-07-01,2007,7,1,7,31,2007-07-01,2007-07-31,2007-07-02,2007-07-31,103.1085923826990,103.11
2007-08-01,2007,8,1,8,31,2007-08-01,2007-08-31,2007-08-01,2007-08-31,105.7088090674220,105.71
2007-09-01,2007,9,1,9,30,2007-09-01,2007-09-30,2007-09-03,2007-09-28,101.9084923743650,101.91
2007-10-01,2007,10,1,10,31,2007-10-01,2007-10-31,2007-10-01,2007-10-31,106.9089090757560,106.91
2007-11-01,2007,11,1,11,30,2007-11-01,2007-11-30,2007-11-01,2007-11-30,105.2087673972830,105.21
2007-12-01,2007,12,1,12,31,2007-12-01,2007-12-31,2007-12-03,2007-12-31,103.8086507208930,103.81
2008-01-01,2008,1,1,1,31,2008-01-01,2008-01-31,2008-01-01,2008-01-31,104.6087173931160,104.61
2008-02-01,2008,2,1,2,29,2008-02-01,2008-02-29,2008-02-01,2008-02-29,101.7084757063090,101.71
2008-03-01,2008,3,1,3,31,2008-03-01,2008-03-31,2008-03-03,2008-03-31,106.7088924077010,106.71
2008-04-01,2008,4,1,4,30,2008-04-01,2008-04-30,2008-04-01,2008-04-30,111.5092924410370,111.51
2008-05-01,2008,5,1,5,31,2008-05-01,2008-05-31,2008-05-01,2008-05-30,106.8089007417280,106.81
2008-06-01,2008,6,1,6,30,2008-06-01,2008-06-30,2008-06-02,2008-06-30,108.4090340861740,108.41
2008-07-01,2008,7,1,7,31,2008-07-01,2008-07-31,2008-07-01,2008-07-31,105.4087840653390,105.41
2008-08-01,2008,8,1,8,31,2008-08-01,2008-08-31,2008-08-01,2008-08-29,106.2088507375610,106.21
2008-09-01,2008,9,1,9,30,2008-09-01,2008-09-30,2008-09-01,2008-09-30,103.1085923826990,103.11
